djv001_01.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv009_07.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv009_08.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv009_09.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv010.adx:     CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv011.adx:     CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv012_01.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv012_02.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv012_03.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv013_01.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv013_02.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv014.adx:     CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv015_01.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv015_02.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv015_03.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv016.adx:     CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv017_01.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv017_02.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv017_03.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv018.adx:     CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv019_01.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv019_02.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv020.adx:     CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv021_01.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv021_02.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv021_03.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv021_04.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv021_05.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv022_01.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv022_02.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv023.adx:     CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv024.adx:     CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv025_01.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv025_02.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv026.adx:     CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv027_01.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv027_02.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv028_01.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv028_02.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv028_03.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv028_04.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv029_01.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv029_02.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv029_03.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv029_04.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv029_05.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv029_06.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv029_07.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv029_08.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv030_01.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv030_02.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv030_03.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv031_01.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv031_02.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv032_01.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv032_02.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv032_03.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv032_04.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv033.adx:     CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv034_01.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv034_02.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv035_01.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv035_02.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv036_01.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv036_02.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv037_01.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv037_02.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv038_01.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv038_02.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv039_01.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv039_02.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv040.adx:     CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv041_01.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv041_02.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv041_03.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv041_04.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv041_05.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv041_06.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv042_01.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv042_02.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv043_01.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv043_02.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv043_03.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv043_04.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv044_01.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv044_02.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv045_01.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv045_02.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv046_01.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv046_02.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv046_03.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv046_04.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv047.adx:     CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv048_01.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv048_02.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv049_01.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv049_02.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv049_03.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv049_04.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv049_05.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv050.adx:     CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv051_01.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv051_02.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv051_03.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv051_04.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv052.adx:     CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv053.adx:     CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv054_01.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv054_02.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv054_03.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv054_04.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv054_05.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv055_01.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv055_02.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv055_03.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv056.adx:     CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv057.adx:     CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv058_01.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv058_02.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv059_01.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv059_02.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv060.adx:     CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv061_01.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv061_02.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv061_03.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv061_04.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv061_05.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv061_06.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv061_07.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv061_08.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv061_09.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv061_10.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv062.adx:     CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv063.adx:     CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv064.adx:     CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv065.adx:     CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv066.adx:     CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv067.adx:     CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv068_01.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv068_02.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv069_01.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv069_02.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv070_01.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv070_02.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv071_01.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv071_02.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv072.adx:     CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv073.adx:     CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv074_01.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv074_02.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv075.adx:     CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv076_01.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv076_02.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv076_03.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv077_01.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv077_02.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv077_03.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv077_04.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv077_05.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv077_06.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv077_07.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv077_08.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv077_09.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv077_10.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv078_01.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv078_02.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv078_03.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv079_01.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv079_02.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv080.adx:     CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv081.adx:     CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv082.adx:     CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv083.adx:     CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv084_01.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv084_02.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv084_03.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv084_04.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv085_01.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv085_02.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv085_03.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv085_04.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv085_05.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv086.adx:     CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv094.adx:     CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv099_01.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv099_02.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv099_03.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv099_04.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv099_05.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv099_06.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv099_07.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv100_01.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv100_02.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv100_02b.adx: CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv101.adx:     CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv102.adx:     CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv103_01.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv103_02.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv103_03.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv104_01.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv104_02.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv105_01.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv105_02.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv106_01.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv106_02.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv107.adx:     CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv111_01.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv111_02.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv111_03.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv112.adx:     CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
